data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,codice_comune,denominazione_comune,abitanti,nuovi_casi,totale_casi
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014033,Grosio,4619,0,3
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014034,Grosotto,1615,0,1
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014036,Lanzada,1372,1,3
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014037,Livigno,5976,0,5
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014038,Lovero,667,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014035,Madesimo,540,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014039,Mantello,732,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014040,Mazzo di Valtellina,1041,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014041,Mello,1001,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014043,Mese,1747,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014044,Montagna in Valtellina,3031,1,2
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014045,Morbegno,11786,0,4
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014046,Novate Mezzola,1814,0,1
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014047,Pedesina,30,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014048,Piantedo,1321,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014049,Piateda,2309,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014050,Piuro,1950,0,1
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014051,Poggiridenti,1865,0,1
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014052,Ponte in Valtellina,2304,0,2
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014053,Postalesio,659,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014054,Prata Camportaccio,2921,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014055,Rasura,292,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014056,Rogolo,564,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014057,Samolaco,2884,0,1
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014058,San Giacomo Filippo,395,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014059,Sernio,500,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014060,Sondalo,4237,0,2
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014061,Sondrio,21642,0,12
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014062,Spriana,101,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014063,Talamona,4768,1,4
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014064,Tartano,190,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014065,Teglio,4654,0,3
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014066,Tirano,9073,2,11
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014067,Torre di Santa Maria,824,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014068,Tovo di Sant'Agata,624,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014069,Traona,2536,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014070,Tresivio,2002,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014071,Valdidentro,4045,0,5
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014072,Valdisotto,3533,0,1
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014073,Valfurva,2703,0,8
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014074,Val Masino,939,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014075,Verceia,1093,1,3
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014076,Vervio,209,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014077,Villa di Chiavenna,1030,0,0
2020-03-17T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014078,Villa di Tirano,2957,0,4
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014001,Albaredo per San Marco,349,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014002,Albosaggia,3146,0,1
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014003,Andalo Valtellino,552,0,0
2020-03-18T16:00:00+0100,ITA,03,Lombardia,014,Sondrio,SO,014004,Aprica,1588,0,1
